entity_type,name
microbe,Lactobacillus fermentum
microbe,Lactobacillus fermentum CRL1446
microbe,Lactobacillus fermentus
microbe,Lactobacillus gasseri
microbe,Lactobacillus gasseri subgroup
microbe,Lactobacillus gasseri/johnsonii
microbe,Lactobacillus group
microbe,Lactobacillus iners
microbe,Lactobacillus jensenii
microbe,Lactobacillus johnsonii
microbe,Lactobacillus mucosae
microbe,Lactobacillus murinus
microbe,Lactobacillus paracasei
microbe,Lactobacillus paracasei CBA L74
microbe,Lactobacillus plantarum
microbe,Lactobacillus plantarum CCFM8610
microbe,Lactobacillus plantarum HA-119
microbe,Lactobacillus plantarum T4
microbe,Lactobacillus plantarum T8
microbe,Lactobacillus reuteri
microbe,Lactobacillus reuteri RC-14
microbe,Lactobacillus rhamnosus
microbe,Lactobacillus rhamnosus A 191
microbe,Lactobacillus rhamnosus GG
microbe,Lactobacillus rhamnosus HN001
microbe,Lactobacillus rhamnosus Lc705
microbe,Lactobacillus ruminis
microbe,Lactobacillus salivarius
microbe,Lactobacillus species
microbe,Lactobacillus spp
microbe,Lactobacillus spp.
microbe,Lactobacillus vaginalis
microbe,Lactobacillus-Bifidobacterium
microbe,Lactococcus
microbe,Lactococcus lactis
microbe,Lactococcus lactis LL-23
microbe,Lactococcus lactis W58
microbe,Lactonifactor
microbe,Legionella
microbe,Lentisphaeria
microbe,Leotiomycetes
microbe,Leptotrichia
microbe,Leuconostoc
microbe,Leuconostocaceae
microbe,Limnobacter
microbe,Listeria monocytogenes
microbe,Listeria sp.
microbe,Lutispora
microbe,Lysobacter sp.
microbe,ML615J-28
microbe,Malasseziomycetes
microbe,Marinobacter
microbe,Marvinbryantia
microbe,Marvinbryantia formatexigens
microbe,Massilia
microbe,Megamonas
microbe,Megasphaera
microbe,Methanobacteriales
microbe,Methanobrevibacter
microbe,Methanobrevibacter smithii
microbe,Methanobrevibacterium
microbe,Methylobacteriaceae
microbe,Methylobacterium
microbe,Methylobacterium radiotolerans
microbe,Microbacterium
microbe,Micrococcaceae
microbe,Micrococcus
microbe,Micrococcus luteus
microbe,Microvirgula
microbe,Mitsuokella
microbe,Mitsuokella multacida
microbe,Mixed lactic acid bacteria
microbe,Mogibacterium
microbe,Mollicutes
microbe,Monilinia
microbe,Moraxella
microbe,Moraxella catarrhalis
microbe,Moraxellaceae
microbe,Mucispirillum
microbe,Mucispirillum schaedleri
microbe,Murimonas
microbe,Mycobacterium avium paratuberculosis
microbe,Mycobacterium avium subsp. paratuberculosis
microbe,Mycobacterium avium subspecies paratuberculosis
microbe,Mycobacterium luteum
microbe,Mycobacterium paratuberculosis
microbe,Mycobacterium tuberculosis
microbe,Mycoplasma genitalium
microbe,Mycoplasma pneumoniae
microbe,Mycoplasmatales
microbe,Negativicutes
microbe,Neisseria
microbe,Neisseria elongata
microbe,Neisseria flavescens
microbe,Neisseria gonorrhoeae
microbe,Nocardioidaceae
microbe,Novispirillum
microbe,Oceanobacillus
microbe,Ochrobactrum
microbe,Odoribacter
microbe,Odoribacter spp
microbe,Odoribacteraceae
microbe,Olsenella
microbe,Opisthokonta
microbe,Oribacterium
microbe,Oscillibacter
microbe,Oscillibacter valericigenes
microbe,Oscillospira
microbe,Oxalobacter formigenes
microbe,Paenibacillus
microbe,Paeniclostridium
microbe,Paludibacter
microbe,Panax quinquefolius
microbe,Papillibacter cinnamivorans
microbe,Parabacteriodes
microbe,Parabacteroides
microbe,Parabacteroides distasonis
microbe,Parabacteroides goldsteinii
microbe,Parabacteroides sp
microbe,Paraprevotella
