"disease","disease_external_has_mesh_id","disease_external_has_mesh_heading","disease_external_has_scientific_name","disease_external_has_hsdn","disease_external_hsdn_symptom_count","disease_external_pubmed_occurrence_sum","disease_external_tfidf_sum"
"COPD Exacerbation","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cancer cachexia","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cardiac valve calcification","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cardiovascular Diseases","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cardiovascular disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Caries","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Celiac Disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Celiac Disease, Coaliac disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Celiac disease","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cervical cancer","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cervical intraneoplasia","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cervicitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chagas' disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chlamydia","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cholelithiasis","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cholestasis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic Kidney Disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic Obstructive Pulmonary Disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic Prostatitis/Chronic Pelvic Pain Syndrome","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic Rhinosinusitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic Rhinosinusitis with asthma","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic Rhinosinusitis with cystic fibrosis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic alcoholic pancreatitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic fatigue syndrome","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic granulomatous disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic kidney disease","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic liver disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic lung disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic mucocutaneous candidiasis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic ocular graft-versus-host disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic pancreatitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic prostatitis / Chronic pelvic pain syndrome","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic rhinosinusitis with nasal polyps","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic stress","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Chronic urticaria","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cirrhosis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cirrhosis with pneumonia","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cleft palate","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Clonorchis sinensis infection","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Clostridium difficile associated disease","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Clostridium difficile infection","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Clostridium difficile infection(CDI)","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Clostridium difficile infections","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Clostrium difficile-related diarrhea","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Coeliac disease","-1.0174359","-1.019952","-1.0224748","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Cognitive impairment","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Collagenous colitis","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Colon adenomas","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Colon cancer","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Colon polyps","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Colorectal cancer","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Colorectal carcinoma","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
"Common Variable Immunodeficieny","0.9828629","0.9804382","0.97801924","-0.12771519","-0.12691726","-0.12457799","-0.12488974"
